,Kirkovo,61,,43.1833333,26.8166667
bg,kizilagac,Kizilagac,65,,42.1666667,26.5666667
bg,kizillar,Kizillar,52,,43.2833333,26.35
bg,kizilmurad,Kizilmurad,52,,43.45,26.4
bg,kizlarkioy,Kizlarkioy,52,,43.1333333,26.1
bg,kizylmurad,Kizylmurad,52,,43.45,26.4
bg,kjoprju kjoj,Kjoprju Kjoj,61,,43.0166667,27.5333333
bg,kjossewo,Kjossewo,43,,41.6166667,25.3
bg,kjossewzi,Kjossewzi,52,,43.1,26.25
bg,kjucuk-viran,Kjucuk-Viran,43,,41.5166667,25.25
bg,kjulefca,Kjulefca,61,,43.25,27.1166667
bg,kjulewtscha,Kjulewtscha,61,,43.25,27.1166667
bg,kjuprija,Kjuprija,39,,42.2666667,27.7666667
bg,kjusse abdi,Kjüsse Abdi,52,,43.8,26.8166667
bg,kjusseler,Kjusseler,61,,43.4833333,27.9166667
bg,kjustendil,Kjustendil,45,47315,42.2838889,22.6911111
bg,kjutjuklii,Kjutjuklii,52,,43.9666667,26.4
bg,kladanci,Kladanci,52,,43.6,26.45
bg,kladara,Kladara,39,,41.9666667,27.6666667
bg,kladenchevo,Kladenchevo,61,,43.4166667,27.7666667
bg,kladenci,Kladenci,61,,43.7166667,27.25
bg,kladenets,Kladenets,43,,41.7333333,25.6666667
bg,kladenets,Kladenets,52,,43.6,26.45
bg,kladenets,Kladenets,61,,43.15,27.1666667
bg,kladenez,Kladenez,43,,41.7333333,25.6666667
bg,kladenez,Kladenez,52,,43.6,26.45
bg,kladenez,Kladenez,61,,43.15,27.1666667
bg,kladentschewo,Kladentschewo,61,,43.4166667,27.7666667
bg,kladentsi,Kladentsi,52,,43.6,26.45
bg,kladentsi,Kladentsi,58,,41.4166667,23.05
bg,kladentsi,Kladentsi,61,,43.7166667,27.25
bg,kladni dyal,Kladni Dyal,46,,42.85,25.6833333
bg,kladnitsa,Kladnitsa,58,,42.5666667,23.1833333
bg,kladniy dyal,Kladniy Dyal,46,,42.85,25.6833333
bg,kladniza,Kladniza,58,,42.5666667,23.1833333
bg,kladorub,Kladorub,63,,43.7166667,22.6511111
bg,kladorup,Kladorup,63,,43.7166667,22.6511111
bg,klementina,Klementina,46,,43.5,24.55
bg,klementina,Klementina,51,,42.2333333,24.7333333
bg,klementinovo,Klementinovo,43,,42.1666667,25.7166667
bg,klementinovo,Klementinovo,51,,42.2333333,24.7333333
bg,klenovik,Klenovik,58,,42.4166667,22.9166667
bg,klenowik,Klenowik,58,,42.4166667,22.9166667
bg,klepalo,Klepalo,38,,41.6161111,22.9775
bg,kleshka,Kleshka,46,,42.8166667,25.6166667
bg,kletnitsa,Kletnitsa,43,,41.5333333,25.6
bg,klikach,Klikach,39,,42.7,27.0666667
bg,klikatsch,Klikatsch,39,,42.7,27.0666667
bg,klimasch,Klimasch,39,,42.7833333,26.9
bg,klimash,Klimash,39,,42.7833333,26.9
bg,klimash,Klimash,46,,42.9166667,24.2666667
bg,klimentina,Klimentina,46,,43.5,24.55
bg,klimentina,Klimentina,51,,42.2333333,24.7333333
bg,klimentinino,Klimentinino,46,,43.1666667,26.0
bg,klimentino,Klimentino,46,,43.5,24.55
bg,klimentinovo,Klimentinovo,43,,42.1666667,25.7166667
bg,klimentinovo,Klimentinovo,51,,42.2333333,24.7333333
bg,klimentinovo,Klimentinovo,61,,43.35,27.95
bg,klimentinowo,Klimentinowo,43,,42.1666667,25.7166667
bg,klimentinowo,Klimentinowo,51,,42.2333333,24.7333333
bg,kliment,Kliment,51,,42.6,24.6833333
bg,kliment,Kliment,61,,43.6166667,27.0
bg,klimentovo,Klimentovo,46,,43.3666667,25.6
bg,klimentovo,Klimentovo,61,,43.35,27.95
bg,klimentowo,Klimentowo,46,,43.3666667,25.6
bg,klimentowo,Klimentowo,61,,43.35,27.95
bg,klisali,Klisali,43,,41.5333333,25.25
bg,klisedzhik,Klisedzhik,61,,43.4833333,27.1833333
bg,klise k'oy,Klise K'oy,58,,42.7166667,24.1
bg,klissoura,Klissoura,33,,43.1983333,23.1611111
bg,klissoura,Klissoura,51,,42.7,24.45
bg,klissuraiza,Klissuraiza,33,,43.5166667,23.0333333
bg,klissura,Klissura,33,,43.2,23.1666667
bg,klissura,Klissura,42,,42.7166667,23.1
bg,klissura,Klissura,51,,42.7,24.45
bg,klissura,Klissura,58,,42.3166667,23.3666667
bg,klisura,Klisura,33,,43.1983333,23.1611111
bg,klisura,Klisura,42,,42.7166667,23.1
bg,klisura,Klisura,51,1708,42.7,24.45
bg,klisura,Klisura,58,,42.0166667,22.9166667
bg,klisuritsa,Klisuritsa,33,,43.5166667,23.0333333
bg,klisurski manastire,Klisurski Manastire,33,,43.2,23.1666667
bg,klisurski manastir,Klisurski Manastir,33,,43.2,23.1666667
bg,kljuoce klyuch,KljuoCe Klyuch,58,,41.3666667,23.0166667
bg,kljutschewa machala,Kljutschewa Machala,33,,43.75,23.2
bg,kljutsch,Kljutsch,58,,41.3666667,23.0166667
