obudze,Mats'kobudze,59,,54.5666667,23.1166667
lt,mazuoliai,Mazuoliai,61,,55.6666667,23.55
lt,mazurishki,Mazurishki,57,,54.7166667,23.7666667
lt,mazurishki,Mazurishki,59,,55.0333333,22.9666667
lt,mazurmaciai,Mazurmaciai,62,,55.1333333,22.1333333
lt,mecionys,Mecionys,60,,55.2666667,26.5
lt,meciunai,Meciunai,56,,54.0833333,23.6666667
lt,meciunu,Meciunu,56,,54.0833333,23.6666667
lt,medales,Medales,58,,55.4330556,21.4716667
lt,medeikiai,Medeikiai,60,,56.2736111,24.8230556
lt,medeiki,Medeiki,60,,56.2736111,24.8230556
lt,medeikiu,Medeikiu,60,,56.2736111,24.8230556
lt,medeisiai,Medeisiai,60,,55.4666667,26.4166667
lt,medeksiai,Medeksiai,60,,55.2333333,24.0
lt,medeley,Medeley,58,,55.4330556,21.4716667
lt,medemrode,Medemrode,61,,56.3333333,22.7
lt,medemrodes,Medemrodes,61,,56.3333333,22.7
lt,medeyki,Medeyki,60,,56.2736111,24.8230556
lt,medeykyay,Medeykyay,60,,56.2736111,24.8230556
lt,medginay,Medginay,61,,56.1913889,23.6941667
lt,medginiai,Medginiai,61,,56.1913889,23.6941667
lt,medikenay,Medikenay,61,,55.8666667,23.7833333
lt,medikoniai,Medikoniai,60,,55.8833333,24.2333333
lt,medikoniai,Medikoniai,61,,55.8666667,23.7833333
lt,medikonyay,Medikonyay,60,,55.8833333,24.2333333
lt,medingenai,Medingenai,63,,55.8166667,22.0833333
lt,medingenay,Medingenay,63,,55.8166667,22.0833333
lt,medingenu,Medingenu,63,,55.8166667,22.0833333
lt,mediniai,Mediniai,60,,56.0752778,24.2913889
lt,mediniai strevininkai,Mediniai Strevininkai,57,,54.8,24.4
lt,medininkai,Medininkai,60,,55.3333333,23.7833333
lt,medininkai,Medininkai,61,,55.2333333,23.05
lt,medininkai,Medininkai,63,,55.7405556,22.3644444
lt,medininkai,Medininkai,65,,54.5333333,25.6666667
lt,medininkay,Medininkay,65,,54.5333333,25.6666667
lt,medininku,Medininku,61,,55.2333333,23.05
lt,medinishkyay,Medinishkyay,60,,55.8333333,23.9833333
lt,mediniskiai,Mediniskiai,60,,55.8333333,23.9833333
lt,mediniu,Mediniu,60,,56.0752778,24.2913889
lt,medinyay,Medinyay,60,,56.0752778,24.2913889
lt,medishkemen,Medishkemen,62,,55.2894444,21.8508333
lt,mediskiai,Mediskiai,63,,55.75,22.4666667
lt,mediskiemiai,Mediskiemiai,62,,55.2894444,21.8508333
lt,mednikay,Mednikay,60,,55.3333333,23.7833333
lt,medniki,Medniki,60,,55.3333333,23.7833333
lt,medniki,Medniki,65,,54.5333333,25.6666667
lt,medninkai,Medninkai,65,,54.5333333,25.6666667
lt,medninkay,Medninkay,65,,54.5333333,25.6666667
lt,medomiskiai,Medomiskiai,58,,56.05,21.2166667
lt,medomiskiu,Medomiskiu,58,,56.05,21.2166667
lt,(( medsedai )),(( Medsedai )),61,,56.05,23.0833333
lt,medsedy,Medsedy,63,,56.0666667,21.8333333
lt,medsedzhey,Medsedzhey,58,,55.8666667,21.3
lt,medsedzhyay,Medsedzhyay,63,,56.0666667,21.8333333
lt,medsedziai,Medsedziai,58,,55.65,21.4666667
lt,medsedziai,Medsedziai,63,,56.0666667,21.8333333
lt,medsedziu,Medsedziu,63,,56.0666667,21.8333333
lt,medsiedy grusza‚awki,Medsiedy GruszÅ‚awki,58,,56.0833333,21.3666667
lt,medsodis,Medsodis,63,,55.85,22.2166667
lt,medukshty,Medukshty,56,,54.4333333,24.1
lt,meduksta,Meduksta,56,,54.4333333,24.1
lt,medvalakay,Medvalakay,61,,55.9,23.6666667
lt,medvedai,Medvedai,60,,55.3333333,24.1
lt,medvedi,Medvedi,60,,55.3333333,24.1
lt,medvisiai,Medvisiai,56,,54.5666667,23.85
lt,medvizhe,Medvizhe,56,,54.5666667,23.85
lt,medykenay,Medykenay,60,,55.8833333,24.2333333
lt,medyniki,Medyniki,61,,55.2333333,23.05
lt,medyshkay,Medyshkay,63,,55.75,22.4666667
lt,medyshkyay,Medyshkyay,63,,55.9166667,22.4333333
lt,medzhialenke,Medzhialenke,63,,56.2166667,22.4
lt,medzhyunay,Medzhyunay,60,,55.9,24.65
lt,medzialenke,Medzialenke,63,,56.2166667,22.4
lt,medzialenkes,Medzialenkes,63,,56.2166667,22.4
lt,medziociai,Medziociai,60,,55.3833333,24.9833333
lt,medziolanki,Medziolanki,63,,56.2166667,22.4
lt,medzioniu,Medzioniu,60,,55.9,24.65
lt,medzionys,Medzionys,57,,54.6666667,24.35
lt,medziuikai,Medziuikai,65,,54.9166667,25.0833333
lt,medziukai,Medziukai,65,,54.9166667,25.0833333
lt,medziunai,Medziunai,60,,55.9,24.65
lt,medziunai,Medziunai,65,,54.4666667,24.9666667
lt,medziunu,Medziunu,60,,55.9,24.65
lt,medzyany,Medzyany,57,,54.6666667,24.35
lt,medzyany,Medzyany,60,,55.3833333,24.9833333
lt,medzyuki,Medzyuki,65,,54.9166667,25.0833333
lt,meesel'n,Meesel'n,58,,55.5166667,21.3166667
lt,meganay,Meganay,60,,55.5,23.9166667
lt,megucioniai,Megucioniai,61,,56.0561111,23.9336111
lt,megyany,Megyany,60,,55.5,23.9166667
lt,meidonys,Meidonys,65,,54.7,24.8333333
lt,meikstai,Meikstai,60,,55.45,26.5
lt,meiliskiai,Meiliskiai,60,,55.4833333,23.5333333
lt,meiliskio,Meiliskio,60,,55.4833333,23.5333333
lt,meiliskis,Meiliskis,60,,55.4833333,23.5333333
lt,meiliskiu,Meiliskiu,60,,55.4833333,23.5333333
lt,meiliunai,Meiliunai,60,,56.0166667,24.7211111
lt,meilunai,Meilunai,60,,56.0263889,24.8066667
lt,meiluniai,Meiluniai,60,,56.0263889,24.8066667
lt,meiluskes,Meiluskes,65,,54.6333333,24.8
lt,meironiskeliai,Meironiskeliai,60,,55.3833333,23.7166667
lt,meironys,Meironys,64,,55.3333333,26.0833333
lt,meislaukiai,Meislaukiai,62,,55.2827778,21.7066667
lt,meistai,Meistai,61,,55.4166667,23.2
lt,meistiske,Meistiske,59,,54.7333333,23.2333333
lt,mejszagoa‚a,MejszagoÅ‚a,65,,54.8666667,25.0666667
lt,meke,Meke,61,,56.1,23.5422222
lt,mekiai,Mekiai,61,,55.8,23.1166667
lt,mekiu,Mekiu,61,,56.1,23.5422222
lt,mekla,Mekla,57,,55.1333333,23.9833333
lt,mekyay,Mekyay,61,,55.8,23.1166667
lt,melagenai,Melagenai,60,,55.25,26.4333333
lt,melagenay,Melagenay,60,,55.25,26.4333333
lt,melaiciai,Melaiciai,61,,56.1847222,23.6758333
lt,melaisciai,Melaisciai,60,,56.1125,24.8813889
lt,melaychyay,Melaychyay,61,,56.1847222,23.6758333
lt,melayshchiai,Melayshchiai,60,,56.1125,24.8813889
lt,mel'dekvirzhe,Mel'dekvirzhe,62,,55.25,22.1833333
lt,meldikvirsiai antrieji,Meldikvirsiai Antrieji,62,,55.25,22.1833333
lt,meldikvirsiai ii,Meldikvirsiai II,62,,55.25,22.1833333
lt,meldikvirsiai i,Meldikvirsiai I,62,,55.2333333,22.1666667
lt,meldikvirsiai pirmieji,Meldikvirsiai Pirmieji,62,,55.2333333,22.1666667
lt,meldiniai,Meldiniai,61,,55.85,23.8833333
lt,mel'dinyay,Mel'dinyay,61,,55.85,23.8833333
lt,meldyniu,Meldyniu,61,,55.85,23.8833333
lt,meldzhyunay,Meldzhyunay,61,,56.2275,24.0858333
lt,meldziunai,Meldziunai,61,,56.2275,24.0858333
lt,meldziunai,Meldziunai,64,,55.1166667,25.7666667
lt,melegiany,Melegiany,60,,55.25,26.4333333
lt,melekonys,Melekonys,65,,54.5666667,25.2166667
lt,melengiany,Melengiany,60,,55.25,26.4333333
lt,meleyshyay,Meleyshyay,60,,56.1125,24.8813889
lt,meliunai,Meliunai,60,,56.0166667,24.7211111
lt,mel'ki,Mel'ki,65,,54.8666667,25.2
lt,mel'neragen,Mel'neragen,58,,55.7333333,21.0833333
lt,melniai,Melniai,61,,56.2466667,23.7291667
lt,melnrage,Melnrage,58,,55.7333333,21.0833333
lt,melnytele,Melnytele,56,,54.4,24.3
lt,melyunay,Melyunay,60,,56.0166667,24.7211111
lt,melyuny,Melyuny,56,,54.3666667,24.2333333
lt,memaiciai,Memaiciai,58,,56.1166667,21.3
lt,memel,Memel,58,,55.7172222,21.1175
lt,memenchuvka,Memenchuvka,60,,55.6666667,24.2166667
lt,memenciai,Memenciai,60,,55.6666667,24.2166667
lt,menaiciai,Menaiciai,61,,55.6333333,23.55
lt,menchay,Menchay,40,,56.2666667,22.8833333
lt,menciai,Menciai,40,,56.2666667,22.8833333
lt,menciske,Menciske,56,,53.9666667,23.6666667
