,Sehovici,02,,44.4791667,17.2058333
ba,sestici,Sestici,02,,45.0372222,17.1113889
ba,sestrina,Sestrina,01,,43.1547222,17.7305556
ba,sesumi,Sesumi,01,,43.8913889,17.2638889
ba,sesum,Sesum,01,,44.1719444,17.4083333
ba,setici,Setici,02,,43.8866667,19.0658333
ba,setihovo,Setihovo,02,,43.6622222,19.2741667
ba,sevarike,Sevarike,02,,44.5147222,17.3797222
ba,sevarlije,Sevarlije,02,,44.6761111,18.0830556
ba,sevar,Sevar,01,,44.4961111,18.5766667
ba,sevas njive,Sevas Njive,01,,43.1533333,17.7530556
ba,sevce,Sevce,01,,44.0644444,18.3716667
ba,severovci,Severovci,02,,45.0913889,16.9594444
ba,seve,Seve,01,,44.2711111,16.2119444
ba,seve,Seve,02,,44.8591667,16.9786111
ba,sevica glavica,Sevica Glavica,01,,45.2166667,15.9633333
ba,sevici,Sevici,01,,45.2113889,16.0108333
ba,sevi,Sevi,01,,43.2905556,17.5113889
ba,sevo,Sevo,02,,45.0391667,16.6444444
ba,sharice,Sharice,02,,44.4502778,17.1825
ba,sibenik,Sibenik,01,,43.7872222,17.6186111
ba,siberi,Siberi,01,,44.1644444,18.5677778
ba,sibica han,Sibica Han,02,,45.0158333,17.3111111
ba,sibic,Sibic,01,,44.4269444,18.6930556
ba,sibincici,Sibincici,02,,44.9619444,17.7608333
ba,siblici,Siblici,01,,44.2316667,18.0408333
ba,sibljani,Sibljani,02,,44.9977778,17.4794444
ba,sibosica,Sibosica,01,,44.67,18.7344444
ba,sibosnica,Sibosnica,01,,44.67,18.7344444
ba,sibovac,Sibovac,01,,44.8991667,18.4575
ba,sibovi,Sibovi,01,,44.4113889,18.725
ba,sibovi,Sibovi,02,,44.3802778,17.0486111
ba,sibovska,Sibovska,02,,44.9213889,17.7058333
ba,sib,Sib,02,,44.4366667,19.0275
ba,sicanice,Sicanice,01,,44.5311111,18.0336111
ba,sicine,Sicine,02,,44.9441667,17.9563889
ba,sici,Sici,01,,43.9852778,18.5344444
ba,sicki brod,Sicki Brod,01,,44.5230556,18.595
ba,sidica,Sidica,01,,44.1636111,18.0252778
ba,sidranovina,Sidranovina,02,,43.1225,18.1008333
ba,sienokos,Sienokos,01,,44.1463889,17.6011111
ba,sigovac,Sigovac,02,,44.9591667,17.0333333
ba,sijakovici,Sijakovici,01,,42.8858333,17.8783333
ba,sijakovici,Sijakovici,02,,43.8038889,19.3769444
ba,sijakovina,Sijakovina,02,,43.5163889,19.0566667
ba,sijedac,Sijedac,01,,43.6847222,18.8127778
ba,sijekovac,Sijekovac,02,,45.1166667,17.9786111
ba,sijenovo,Sijenovo,02,,44.1436111,19.2238889
ba,sijerca,Sijerca,02,,43.5652778,18.5538889
ba,sijerci,Sijerci,02,,43.945,18.8752778
ba,sijerice,Sijerice,02,,43.5344444,18.6913889
ba,sije,Sije,01,,44.6466667,18.0616667
ba,sikanici,Sikanici,02,,44.7597222,17.5238889
ba,sikara,Sikara,02,,45.0755556,17.2813889
ba,sikarici,Sikarici,02,,44.7747222,18.8872222
ba,sikimici,Sikimici,02,,44.2719444,18.8561111
ba,sikirica,Sikirica,01,,45.1427778,15.8197222
ba,sikirici,Sikirici,02,,44.13,19.4369444
ba,sikiric,Sikiric,02,,44.13,19.4369444
ba,sikmani,Sikmani,01,,44.63,16.7227778
ba,sikmani,Sikmani,02,,44.4827778,17.0661111
ba,siktar,Siktar,01,,44.4063889,18.3741667
ba,sikulja,Sikulja,01,,43.9725,18.1
ba,sikulje,Sikulje,01,,44.1197222,18.3861111
ba,sikulje turske,Sikulje Turske,01,,44.5777778,18.5063889
ba,silajdzevina,Silajdzevina,01,,44.2216667,17.3752778
ba,silajici,Silajici,01,,45.1019444,15.9091667
ba,silici,Silici,01,,44.9513889,15.9986111
ba,siljakovici,Siljakovici,01,,42.8858333,17.8783333
ba,siljak,Siljak,02,,44.7461111,17.7522222
ba,siljci,Siljci,02,,43.7641667,18.7236111
ba,siljevina,Siljevina,02,,44.9130556,17.8344444
ba,siljeviste,Siljeviste,01,,43.2841667,17.4663889
ba,siljezi,Siljezi,02,,44.8527778,16.7580556
ba,siljici,Siljici,01,,43.7675,17.8661111
ba,siljkovaca,Siljkovaca,01,,45.1402778,15.7852778
ba,siljkovici,Siljkovici,02,,44.2075,19.1941667
ba,siljkovic,Siljkovic,02,,44.2044444,19.205
ba,siljkovo brdo,Siljkovo Brdo,02,,44.7530556,17.3877778
ba,silovici,Silovici,02,,43.5086111,18.8944444
ba,simakici,Simakici,01,,44.5658333,18.4075
ba,simakovici,Simakovici,02,,44.7066667,17.7961111
ba,simanici,Simanici,01,,44.0455556,18.4022222
ba,simanovici,Simanovici,02,,44.4161111,17.4680556
ba,simare,Simare,02,,44.6027778,18.9061111
